db,type,statistic,p.value,padj
Repeat_Masker,Satellite,29987,2.6893861904671057e-9,1.4415109980903686e-6
encodeTFBS,NBN,20159,3.420994612383064e-9,1.8336531122373224e-6
encodeTFBS,RBM34,18262,3.960536845615288e-9,2.1228477492497944e-6
RBP_eCLiP,BCLAF1,18502,4.1739026761385776e-9,2.2372118344102777e-6
encodeTFBS,ZNF407,18320,5.032039118067157e-9,2.6971729672839962e-6
encodeTFBS,CHAMP1,18690,5.6470887506460084e-9,3.0268395703462604e-6
tRNAs,tRNAs,18434,6.54960303655684e-9,3.510587227594466e-6
encodeTFBS,ZBTB1,37812,7.090187899004339e-9,3.8003407138663254e-6
encodeTFBS,FOSL1,19026,8.695795388745935e-9,4.660946328367821e-6
encodeTFBS,BATF,18473,9.38886948588666e-9,5.032434044435249e-6
encodeTFBS,ZNF384,20232,1.6952168574623425e-8,9.086362355998155e-6
encodeTFBS,NFRKB,20583,1.7280762609063042e-8,9.26248875845779e-6
encodeTFBS,SMARCE1,20410,2.1448390970972346e-8,1.1496337560441177e-5
encodeTFBS,ZNF507,18685,2.1891260965984028e-8,1.173371587776744e-5
encodeTFBS,SRF,20429,2.30250919921092e-8,1.234144930777053e-5
encodeTFBS,ZNF574,19985,3.8090859010780134e-8,2.041670042977815e-5
encodeTFBS,PYGO2,19032,5.377987155362036e-8,2.8826011152740513e-5
RBP_eCLiP,QKI,34787,5.920291003199644e-8,3.173275977715009e-5
encodeTFBS,SNRNP70,18957,6.294097471243735e-8,3.373636244586642e-5
encodeTFBS,FOXP1,37472,9.292290111089755e-8,4.980667499544109e-5
encodeTFBS,SOX13,19432,1.0105316882904398e-7,5.4164498492367575e-5
encodeTFBS,FOXA2,20988,1.149743867880565e-7,6.162627131839829e-5
RBP_eCLiP,EIF3G,18963,1.5282966257614987e-7,8.191669914081633e-5
encodeTFBS,BCL11A,19206,1.6071508362420466e-07,8.61432848225737e-5
encodeTFBS,ESR1,19283,2.1353479718679503e-7,1.1445465129212213e-4
encodeTFBS,TRIM22,21470,6.033766048017161e-7,3.2340986017371983e-4
encodeTFBS,CBX3,21262,6.665571589247535e-7,3.572746371836679e-4
RBP_eCLiP,FUBP3,19793,8.661839324751027e-7,4.6427458780665506e-4
RBP_eCLiP,KHDRBS1,34028,9.425770391046118e-7,5.052212929600719e-4
encodeTFBS,NEUROD1,21390,1.0205144028061741e-6,5.469957199041093e-4
encodeTFBS,FOXA1,21856,1.448132652811041e-6,7.76199101906718e-4
encodeTFBS,NR2C2,20343,1.672794185316443e-6,8.966176833296134e-4
encodeTFBS,RFX1,21868,2.210226863822686e-6,0.0011846815990089598
encodeTFBS,IRF3,20985,2.8529092383172584e-6,0.0015291593517380506
encodeTFBS,CUX1,21114,2.933260366703765e-6,0.001572227556553218
encodeTFBS,E4F1,22116,3.3033590517515484e-6,0.00177060045173883
encodeTFBS,MCM2,35828,4.024630178781065e-6,0.002157201775826651
encodeTFBS,CDC5L,20189,4.942872216829937e-6,0.0026493795082208464
encodeTFBS,NCOA3,36264,5.111310458785825e-6,0.002739662405909202
encodeTFBS,ARID2,21156,7.228014552439447e-6,0.0038742158001075435
encodeTFBS,DEAF1,20313,7.3826309993004415e-6,0.003957090215625037
encodeTFBS,ATF2,22260,7.460370589748705e-6,0.003998758636105305
encodeTFBS,ESRRA,22180,8.461668161165985e-6,0.004535454134384968
Repeat_Masker,DNA,16425,1.0761387012563824e-5,0.00576810343873421
knownGene_RNAs,processed_pseudogene,33448,1.141323557067538e-5,0.006117494265882004
encodeTFBS,HNRNPUL1,22165,1.1664805473425052e-5,0.006252335733755827
encodeTFBS,STAT2,20481,1.257404091867266e-5,0.006739685932408546
RBP_eCLiP,CDC40,20587,1.7479868314250695e-5,0.009369209416438373
G4Qpred,tl:13+_nl:10+_gn:5+,20650,1.7492899580704606e-5,0.009376194175257669
encodeTFBS,SOX6,22786,2.443446564679606e-5,0.013096873586682689
encodeTFBS,ARNT,22863,4.298540056656019e-5,0.023040174703676263
Repeat_Masker,Low_complexity,16831,4.445576394041835e-5,0.023828289472064237
RBP_eCLiP,BCCIP,21029,4.511198160364415e-5,0.024180022139553264
Repeat_Masker,LINE,26934,6.942272177376962e-5,0.037210578870740516
encodeTFBS,ARID3A,23254,8.896146407610604e-5,0.047683344744792834
knownGene_RNAs,transcribed_processed_pseudogene,21391,1.247925128363194e-4,0.0668887868802672
encodeTFBS,ZNF207,23298,1.3897578836825748e-4,0.074491022565386
RBP_eCLiP,PTBP1,32506.5,1.7917232582697346e-4,0.09603636664325778
RBP_eCLiP,KHSRP,21421,1.9555984303891135e-4,0.10482007586885649
encodeTFBS,CBX8,32613,2.1067346709465054e-4,0.11292097836273268
Repeat_Masker,Retroposon,25719.5,2.488383226056796e-4,0.13337734091664427
Repeat_Masker,scRNA,2374.5,3.065685489137349e-4,0.1643207422177619
RBP_eCLiP,IGF2BP3,32079,3.595018260447562e-4,0.19269297875998934
RBP_eCLiP,HNRNPK,21754,4.717086388760852e-4,0.2528358304375817
encodeTFBS,SREBF1,23175,5.026494697712802e-4,0.2694201157974062
encodeTFBS,PHB2,34515,6.01317989057597e-4,0.322306442134872
encodeTFBS,"NANOG",22498,6.206945938552036e-4,0.33269230230638913
RBP_eCLiP,MATR3,31865,6.215492411749364e-4,0.33315039326976587
RBP_eCLiP,SUGP2,32023,6.329655866757959e-4,0.3392695544582266
Repeat_Masker,LTR,26334,7.63410491317126e-4,0.40918802334597953
encodeTFBS,MYB,22194,0.0013972175822442247,0.7489086240829045
encodeTFBS,ZNF282,24330,0.001668098053840822,0.8941005568586806
RBP_eCLiP,AGGF1,22315,0.0018360318102573206,0.9841130502979238
encodeTFBS,ARHGAP35,27475,0.7843160510946064,1
encodeTFBS,BMI1,29768,0.5762847505979707,1
encodeTFBS,BRCA1,23810,0.005040572941195514,1
encodeTFBS,CBX2,26197,0.6483398352078039,1
