db,type,statistic,p.value,padj
encodeTFBS,RLF,8000,4.0657718064900584e-38,2.1792536882786712e-35
encodeTFBS,ZEB2,8009,4.404157308588984e-38,2.3606283174036955e-35
encodeTFBS,PRDM10,8385,4.4175716318707743e-38,2.367818394682735e-35
encodeTFBS,ZBTB2,8042,5.902401328938165e-38,3.163687112310856e-35
RBP_eCLiP,IGF2BP2,8044,5.917322980974149e-38,3.171685117802144e-35
encodeTFBS,NFATC3,8203,6.481797243887559e-38,3.474243322723732e-35
RBP_eCLiP,SRSF9,8131.5,1.0444825935797676e-37,5.598426701587554e-35
RBP_eCLiP,FKBP4,8154,1.39855005927742e-37,7.496228317726971e-35
encodeTFBS,IRF1,8158,1.6454666543467462e-37,8.81970126729856e-35
RBP_ChIP,RBM25,8180,1.9972302707979552e-37,1.070515425147704e-34
RBP_eCLiP,XRN2,8271,2.9671241210875775e-37,1.5903785289029416e-34
encodeTFBS,RAD21,9252,4.04995431188013e-37,2.1707755111677496e-34
encodeTFBS,POLR2A,9433,5.291996062433893e-37,2.8365098894645666e-34
encodeTFBS,BRD9,8299,5.673460364226384e-37,3.0409747552253422e-34
encodeTFBS,NR2F2,8842,6.131437607398527e-37,3.28645055756561e-34
encodeTFBS,GMEB1,8339,8.046652920731766e-37,4.313005965512227e-34
RBP_eCLiP,DGCR8,8417,1.5382285627153032e-36,8.244905096154025e-34
encodeTFBS,CREB3L1,8463,2.3661294412450297e-36,1.268245380507336e-33
RBP_eCLiP,NKRF,8467,2.4215205027626595e-36,1.2979349894807855e-33
encodeTFBS,KAT8,8516,3.727750459470398e-36,1.9980742462761336e-33
Encode_CREs,enhD,7693,5.576311261142987e-36,2.988902835972641e-33
RBP_ChIP,FUS,8568,5.7503035327764814e-36,3.082162693568194e-33
encodeTFBS,C11orf30,8569,5.9156302861015376e-36,3.170777833350424e-33
RBP_eCLiP,RBM15,8628,6.175886250951524e-36,3.3102750305100174e-33
encodeTFBS,BCOR,8581,6.560097509167376e-36,3.5162122649137136e-33
RBP_eCLiP,UPF1,8598,6.81258076758702e-36,3.651543291426643e-33
RBP_eCLiP,RPS3,8624,7.475107723351034e-36,4.006657739716154e-33
encodeTFBS,TBL1XR1,8639,1.0803426321884942e-35,5.790636508530329e-33
encodeTFBS,TBP,9183,1.09099202828692e-35,5.847717271617891e-33
RBP_eCLiP,DDX3X,8654.5,1.1781822721055953e-35,6.315056978485991e-33
encodeTFBS,THAP1,8677,1.4967005485477158e-35,8.022314940215757e-33
RBP_eCLiP,U2AF2,8704,1.8794056155629254e-35,1.007361409941728e-32
RBP_ChIP,HNRNPL,8720,2.1355326168962903e-35,1.1446454826564116e-32
encodeTFBS,KLF5,8736,2.4795495616803963e-35,1.3290385650606923e-32
encodeTFBS,HDAC3,8744,2.654883999701223e-35,1.4230178238398555e-32
RBP_ChIP,PTBP1,8760,2.7011789060673674e-35,1.4478318936521089e-32
RBP_ChIP,FIP1L1,8773,3.28865448427329e-35,1.7627188035704836e-32
encodeTFBS,ARID1B,8789,3.896851275715888e-35,2.088712283783716e-32
encodeTFBS,BRD4,8840,6.013258586161645e-35,3.223106602182642e-32
encodeTFBS,ATF4,9624,6.026799875001012e-35,3.2303647330005423e-32
encodeTFBS,SIN3A,9918,9.632020778282792e-35,5.162763137159577e-32
RBP_ChIP,GTF2F1,8983,2.0152846839724534e-34,1.080192590609235e-31
RBP_ChIP,PRPF4,9015,2.198604401737514e-34,1.1784519593313075e-31
encodeTFBS,TEAD4,9037,3.17614217854727e-34,1.7024122077013367e-31
encodeTFBS,TBX21,9038,3.202940844443459e-34,1.7167762926216939e-31
snoRNA_miRNA_scaRNA,miRNA,9157,4.468415894349216e-34,2.3950709193711796e-31
encodeTFBS,ETS1,9527,6.940522878951163e-34,3.720120263117823e-31
encodeTFBS,MXI1,9775,7.490566801169652e-34,4.014943805426934e-31
RBP_eCLiP,DROSHA,9159,7.966172322639549e-34,4.269868364934798e-31
RBP_ChIP,RBM34,9169,8.847794979080666e-34,4.742418108787237e-31
knownGene_RNAs,miRNA,9245,9.30201022650378e-34,4.985877481406026e-31
encodeTFBS,MEIS2,9615,1.4262854341468782e-33,7.644889927027267e-31
encodeTFBS,ZBTB7A,9435,2.3225581936354682e-33,1.2448911917886109e-30
encodeTFBS,SKI,9755,2.3254772391053444e-33,1.2464558001604647e-30
RBP_eCLiP,RBFOX2,9328.5,3.4947187529644856e-33,1.8731692515889643e-30
encodeTFBS,E2F1,9363,4.794752240274918e-33,2.5699872007873558e-30
encodeTFBS,CC2D1A,9422,7.79515977526803e-33,4.178205639543665e-30
encodeTFBS,NR3C1,10070,8.042515829899926e-33,4.310788484826361e-30
encodeTFBS,EGR1,10452,1.2765451441639237e-32,6.842281972718631e-30
encodeTFBS,GABPA,10539,1.3366271204976541e-32,7.164321365867427e-30
encodeTFBS,IKZF2,9975,1.3695213785058055e-32,7.340634588791118e-30
RBP_eCLiP,APOBEC3C,9521,1.4268326925888695e-32,7.647823232276341e-30
encodeTFBS,RBM25,9525,1.8138383890934994e-32,9.722173765541157e-30
RBP_eCLiP,PCBP2,9613,1.9243655514119533e-32,1.031459935556807e-29
encodeTFBS,NCOR1,10528,2.3139409321106597e-32,1.2402723396113136e-29
encodeTFBS,HDAC1,10905,3.4306079480103727e-32,1.8388058601335598e-29
encodeTFBS,TRIM28,9638,4.555294631871597e-32,2.441637922683176e-29
encodeTFBS,ZNF143,10396,5.582593830193357e-32,2.992270292983639e-29
encodeTFBS,HNRNPLL,10905,6.429176164753352e-32,3.4460384243077964e-29
encodeTFBS,NR2F6,9904,1.0478635435756242e-31,5.616548593565345e-29
RBP_ChIP,PCBP2,9761,1.2137440037760141e-31,6.505667860239436e-29
RBP_eCLiP,AKAP1,9632.5,1.26843046157302e-31,6.798787274031387e-29
encodeTFBS,SETDB1,9766,1.283510180576534e-31,6.879614567890222e-29
encodeTFBS,NFIC,10104,1.4024149665262014e-31,7.516944220580439e-29
encodeTFBS,RBM14,10164,2.2562621055960977e-31,1.2093564885995083e-28
RBP_eCLiP,SRSF1,9716,4.139939960012231e-31,2.2190078185665557e-28
encodeTFBS,CBFB,9995,8.035864160870883e-31,4.307223190226794e-28
RBP_eCLiP,LIN28B,10024,8.531546991569474e-31,4.572909187481238e-28
RBP_ChIP,TAF15,9434,8.669177057616616e-31,4.6466789028825065e-28
encodeTFBS,ASH1L,10025,1.0200073584455153e-30,5.467239441267962e-28
RBP_eCLiP,UCHL5,10056,1.1632974879082188e-30,6.235274535188052e-28
encodeTFBS,BCL3,10192,1.985594700743032e-30,1.0642787595982652e-27
encodeTFBS,FOSL2,10528,2.0452035403424827e-30,1.0962290976235708e-27
encodeTFBS,ZNF316,10735,2.7949857660659483e-30,1.4981123706113483e-27
RBP_eCLiP,GRWD1,10167,2.9059293369871867e-30,1.5575781246251321e-27
encodeTFBS,TRIM24,10251,3.157215452261638e-30,1.6922674824122377e-27
encodeTFBS,SAP30,10510,3.392480261081507e-30,1.8183694199396877e-27
snoRNA_miRNA_scaRNA,CDBox,9891,4.052543496403067e-30,2.172163314072044e-27
encodeTFBS,KDM1A,11243,5.524242596150359e-30,2.9609940315365924e-27
RBP_eCLiP,G3BP1,10324,5.591319580001752e-30,2.996947294880939e-27
Cohesin,STAG2,10383,8.859290838533888e-30,4.7485798894541636e-27
RBP_ChIP,RBM15,10186.5,1.0621307689212424e-29,5.6930209214178594e-27
encodeTFBS,HMBOX1,10598,8.954921747607513e-29,4.7998380567176267e-26
encodeTFBS,RXRA,11204,9.771060722810499e-29,5.237288547426427e-26
encodeTFBS,RBBP5,11389,1.089836193717082e-28,5.841521998323559e-26
encodeTFBS,FUS,10723,1.217612626551964e-28,6.526403678318526e-26
RBP_eCLiP,EIF4G2,10660,1.4324178022914645e-28,7.677759420282249e-26
encodeTFBS,SMC3,11273,1.6348454132438477e-28,8.762771414987024e-26
encodeTFBS,RB1,11815,2.021487520759274e-28,1.0835173111269707e-25
encodeTFBS,STAT5A,10736,2.5716845862565433e-28,1.3784229382335073e-25
encodeTFBS,ZNF639,10999,2.710585765911436e-28,1.4528739705285298e-25
encodeTFBS,GATA1,10965,3.9940500066915717e-28,2.1408108035866826e-25
skewr,C_SKEW,12105,4.743897219615262e-28,2.54272890971378e-25
encodeTFBS,BHLHE40,12178,7.998924841056122e-28,4.287423714806081e-25
encodeTFBS,XRCC5,11839,8.38393607817747e-28,4.493789737903124e-25
encodeTFBS,SKIL,11956,1.0457874309339157e-27,5.605420629805788e-25
encodeTFBS,U2AF1,11026,1.2029764782296442e-27,6.447953923310893e-25
encodeTFBS,BACH1,11375,1.2419863752902393e-27,6.657046971555682e-25
encodeTFBS,HNF4A,11125,1.3244334550767902e-27,7.098963319211595e-25
encodeTFBS,HNF4G,11127,1.3443292778246516e-27,7.205604929140132e-25
RBP_eCLiP,GPKOW,11030,1.837512577571301e-27,9.849067415782172e-25
encodeTFBS,TFAP4,11541,2.2281428590562747e-27,1.1942845724541632e-24
encodeTFBS,MIER1,11042,2.584779517272232e-27,1.3854418212579164e-24
RBP_eCLiP,SND1,11071,3.0324557744620493e-27,1.6253962951116584e-24
encodeTFBS,ATF3,12310,7.025276804409669e-27,3.765548367163583e-24
RBP_eCLiP,PCBP1,11029.5,1.132614373380312e-26,6.070813041318472e-24
encodeTFBS,AFF1,11421,1.179670403658595e-26,6.32303336361007e-24
encodeTFBS,MTA1,11891,1.495938680514418e-26,8.01823132755728e-24
skewr,G_SKEW,12613,1.718330482344029e-26,9.210251385363996e-24
encodeTFBS,ZNF579,11311,1.8960442997402662e-26,1.0162797446607827e-23
RBP_eCLiP,TIA1,11416.5,2.3447728294170184e-26,1.2567982365675219e-23
encodeTFBS,DPF2,12411,2.6517219150780333e-26,1.4213229464818257e-23
encodeTFBS,CBFA2T2,11801,2.762608395617368e-26,1.4807581000509092e-23
encodeTFBS,PAX5,11450,2.763070418276008e-26,1.4810057441959403e-23
encodeTFBS,SMAD1,11378,3.0983506133732856e-26,1.6607159287680812e-23
RBP_eCLiP,STAU2,11439.5,4.7173131342687515e-26,2.5284798399680507e-23
encodeTFBS,SRSF9,42264,5.801812533110631e-26,3.109771517747298e-23
encodeTFBS,HNRNPK,12087,6.049412041255696e-26,3.242484854113053e-23
encodeTFBS,CBX1,11774,1.519228893440874e-25,8.143066868843085e-23
encodeTFBS,ELF4,12307,2.8448248592191796e-25,1.5248261245414802e-22
encodeTFBS,USF1,12152,3.3484767214112547e-25,1.7947835226764326e-22
encodeTFBS,TCF7L2,11799,6.465414599720488e-25,3.4654622254501818e-22
encodeTFBS,ZBED1,11799,6.465414599720488e-25,3.4654622254501818e-22
encodeTFBS,IRF4,11908,7.434543678467149e-25,3.9849154116583916e-22
encodeTFBS,E2F8,11998,7.465601238274891e-25,4.0015622637153415e-22
RBP_eCLiP,GEMIN5,11823,7.668547900902452e-25,4.110341674883714e-22
Encode_Histone,H3K36me3,11841,8.71504678429224e-25,4.671265076380641e-22
encodeTFBS,ZFX,13284,9.136245358845074e-25,4.89702751234096e-22
encodeTFBS,GATA3,12809,1.421600282122543e-24,7.619777512176831e-22
RBP_eCLiP,CSTF2,12028,1.6315525439647274e-24,8.745121635650939e-22
encodeTFBS,MBD2,12673,1.9230466287484796e-24,1.030752993009185e-21
RBP_eCLiP,NIPBL,12017,1.935236218050986e-24,1.0372866128753285e-21
encodeTFBS,DNMT1,11955,1.9506038789492496e-24,1.0455236791167977e-21
encodeTFBS,ELF1,13309,1.9737267645631977e-24,1.057917545805874e-21
encodeTFBS,RNF2,13508,2.2242458779968293e-24,1.1921957906063005e-21
encodeTFBS,SRSF4,12070,2.3279152642927236e-24,1.2477625816608998e-21
RBP_eCLiP,CPSF6,12061.5,3.853668038722446e-24,2.065566068755231e-21
RBP_eCLiP,FXR2,11553,4.730376141351448e-24,2.5354816117643762e-21
encodeTFBS,EED,12730,5.257308741093842e-24,2.8179174852262992e-21
encodeTFBS,NFYA,12135,6.88680569640509e-24,3.691327853273128e-21
encodeTFBS,ETV4,12643,1.0009501234487809e-23,5.3650926616854655e-21
RBP_eCLiP,AKAP8L,12192,1.0234008119038494e-23,5.4854283518046324e-21
RBP_eCLiP,DDX59,12330,1.4168300091732284e-23,7.594208849168505e-21
RBP_eCLiP,IGF2BP1,12354,1.76648593517151e-23,9.468364612519293e-21
encodeTFBS,U2AF2,12474,2.0384763364444916e-23,1.0926233163342475e-20
encodeTFBS,IKZF1,13886,2.634505259763977e-23,1.4120948192334917e-20
encodeTFBS,PLRG1,44599,2.7545247134353646e-23,1.4764252464013555e-20
RBP_eCLiP,ZRANB2,12292.5,3.479388261923082e-23,1.864952108390772e-20
RBP_eCLiP,U2AF1,11936,4.075808907254617e-23,2.1846335742884747e-20
encodeTFBS,SIX5,12626,5.734105745429582e-23,3.073480679550256e-20
encodeTFBS,PRPF4,13023,6.983750182190709e-23,3.74329009765422e-20
encodeTFBS,HCFC1,13377,1.1635026775008022e-22,6.2363743514043e-20
encodeTFBS,ETV6,13293,1.2296425844127823e-22,6.590884252452513e-20
encodeTFBS,SIN3B,13223,1.4252932108768086e-22,7.639571610299694e-20
encodeTFBS,ZNF318,12579,1.4481972466698643e-22,7.762337242150473e-20
encodeTFBS,TAL1,12698,3.2256375015983505e-22,1.7289417008567159e-19
encodeTFBS,CLOCK,14010,3.4620144439931437e-22,1.855639741980325e-19
encodeTFBS,KDM5A,13747,3.848761703411128e-22,2.0629362730283645e-19
RBP_eCLiP,YBX3,12798,4.218936517408225e-22,2.2613499733308084e-19
encodeTFBS,STAT1,12950,9.291053489196712e-22,4.980004670209438e-19
encodeTFBS,TCF7,13176,1.2019268486028925e-21,6.442327908511503e-19
encodeTFBS,ZZZ3,13234,3.2305779873669506e-21,1.7315898012286854e-18
encodeTFBS,MYNN,13105,4.748565541817591e-21,2.545231130414229e-18
encodeTFBS,SMARCC2,13833,7.292146728077278e-21,3.908590646249421e-18
encodeTFBS,GATA2,13174,7.434701723551833e-21,3.985000123823782e-18
encodeTFBS,NRF1,14913,9.08776221534653e-21,4.8710405474257406e-18
Cohesin,STAG1,13327,1.0810643355778078e-20,5.79450483869705e-18
encodeTFBS,CHD1,14796,1.4198619396232408e-20,7.610459996380571e-18
Splice_Events,strangeSplice,13429,2.0838164562931717e-20,1.11692562057314e-17
encodeTFBS,MNT,14967,2.240661662220136e-20,1.2009946509499929e-17
encodeTFBS,UBTF,14552,3.2932829618454946e-20,1.7651996675491853e-17
encodeTFBS,MCM3,42797,5.3237024328386715e-20,2.853504504001528e-17
encodeTFBS,SREBF2,14300,1.327844396094084e-19,7.1172459630642906e-17
encodeTFBS,MCM5,42527,2.681258632464246e-19,1.4371546270008357e-16
encodeTFBS,FOS,15110,2.9464003501368775e-19,1.5792705876733662e-16
encodeTFBS,CEBPB,15181,4.475693789279245e-19,2.398971871053676e-16
RBP_ChIP,SRSF7,13116.5,6.722964435970105e-19,3.6035089376799763e-16
encodeTFBS,PKNOX1,15264,7.277078672861228e-19,3.900514168653618e-16
encodeTFBS,SAFB,13946,9.646602725496124e-19,5.170579060865922e-16
encodeTFBS,ATM,42810,1.546532629299115e-18,8.289414893043256e-16
encodeTFBS,PTBP1,14668,2.1850894519263286e-18,1.171207946232512e-15
encodeTFBS,ZHX2,14186,2.292171654591982e-18,1.2286040068613023e-15
encodeTFBS,EP300,15802,2.958899103089595e-18,1.585969919256023e-15
encodeTFBS,E2F7,14275,3.915101450768746e-18,2.0984943776120477e-15
encodeTFBS,TAF9B,15264,4.022810672925905e-18,2.156226520688285e-15
RBP_eCLiP,YWHAG,14334.5,9.33304464419963e-18,5.002511929291002e-15
encodeTFBS,WHSC1,14369,1.232854270244965e-17,6.608098888513013e-15
encodeTFBS,RFX5,15730,1.8505634234430978e-17,9.919019949655004e-15
encodeTFBS,ZSCAN29,15716,2.9952576021689513e-17,1.6054580747625578e-14
